root_rustsec_id,root_cve_id,root_target_crate,hop,upstream_crate,upstream_fix_version,upstream_fix_time,downstream_crate,downstream_version,downstream_time,lag_days,dep_req,repo_url,pr_url,pr_merged_at,align_method,align_sha,status
RUSTSEC-2016-0001,CVE-2016-10931,openssl,2,cargo,0.15.0,2016-12-25 16:00:07.282341 UTC,cargo-bitbake,0.3.2,2017-04-16 14:14:57.807970 UTC,111,^0.17,https://github.com/cardoe/cargo-bitbake,,,tag_exact_no_pr,0f52e693e4e17c311c413cef99e27a4de309eed0,commit_found_no_pr
RUSTSEC-2016-0001,CVE-2016-10931,openssl,2,cargo,0.15.0,2016-12-25 16:00:07.282341 UTC,cargo-ebuild,0.1.4,2017-04-17 14:17:05.960973 UTC,112,^0.17,https://github.com/gentoo/cargo-ebuild,,,tag_exact_no_pr,4fe37916b5c5b5e82330f6362ebdf2c774ccd6ad,commit_found_no_pr
RUSTSEC-2016-0001,CVE-2016-10931,openssl,2,cargo,0.15.0,2016-12-25 16:00:07.282341 UTC,cargo-vendor,0.1.4,2017-02-04 06:23:03.823266 UTC,40,^0.16,https://github.com/alexcrichton/cargo-vendor,,,,,not_found
RUSTSEC-2016-0001,CVE-2016-10931,openssl,2,cargo,0.15.0,2016-12-25 16:00:07.282341 UTC,debcargo,2.0.0-rc.3,2018-06-06 09:51:47.476952 UTC,527,^0.27,https://salsa.debian.org/rust-team/debcargo,,,,,skipped_no_repo
RUSTSEC-2016-0001,CVE-2016-10931,openssl,2,cargo,0.15.0,2016-12-25 16:00:07.282341 UTC,dinghy,0.2.0,2017-02-10 13:26:16.338340 UTC,46,^0.16,,,,,,skipped_no_repo
RUSTSEC-2016-0001,CVE-2016-10931,openssl,2,cargo,0.15.0,2016-12-25 16:00:07.282341 UTC,cargo-lichking,0.4.0,2017-01-29 14:09:48.151062 UTC,34,^0.15,https://github.com/Nemo157/cargo-lichking,https://github.com/Nemo157/cargo-lichking/pull/7,2017-01-29T13:56:48Z,tag_exact_pr,507ca95d49762b52168804d0b4aee363de81cea9,found
RUSTSEC-2016-0001,CVE-2016-10931,openssl,2,cargo,0.15.0,2016-12-25 16:00:07.282341 UTC,cargo-tree,0.9.0,2016-12-25 21:12:42.993217 UTC,0,^0.15,https://github.com/sfackler/cargo-tree,,,tag_exact_no_pr,37c847ce0d69dd47465c7e91268bfd45c2ffca3d,commit_found_no_pr
RUSTSEC-2016-0001,CVE-2016-10931,openssl,2,cargo,0.15.0,2016-12-25 16:00:07.282341 UTC,cargo-sphinx,1.1.0,2017-08-31 21:40:12.601748 UTC,249,^0.20.0,https://github.com/woofwoofinc/cargo-sphinx,https://github.com/woofwoofinc/cargo-sphinx/pull/48,2017-08-31T20:41:53Z,search_window,,found
RUSTSEC-2016-0001,CVE-2016-10931,openssl,2,cargo,0.15.0,2016-12-25 16:00:07.282341 UTC,cargo-clone,0.1.1,2017-02-25 21:04:41.500673 UTC,62,^0.16.0,https://github.com/JanLikar/cargo-clone,https://github.com/JanLikar/cargo-clone/pull/11,2017-02-25T20:43:20Z,search_window,8872f64119b59bb2989376e118a3756db546c3ab,found
RUSTSEC-2016-0001,CVE-2016-10931,openssl,2,cargo,0.15.0,2016-12-25 16:00:07.282341 UTC,cargo-license,0.1.3,2017-03-18 12:38:06.015185 UTC,82,^0.17,https://github.com/onur/cargo-license,,,tag_exact_no_pr,5e69541591a360d153c8ecb0e98abcb4448115e3,commit_found_no_pr
RUSTSEC-2016-0001,CVE-2016-10931,openssl,2,cargo,0.15.0,2016-12-25 16:00:07.282341 UTC,cargo-travis,0.0.2,2017-02-26 18:12:23.807173 UTC,63,^0.16.0,https://github.com/roblabla/cargo-travis,,,tag_exact_no_pr,2cdcb134e6b27a4c92c4fc3b9009fefd178cfbab,commit_found_no_pr
RUSTSEC-2016-0001,CVE-2016-10931,openssl,2,cookie,0.4.0,2016-11-21 15:59:01.919892 UTC,conduit-cookie,0.8.1,2016-12-28 17:47:15.102995 UTC,37,^0.4,https://github.com/conduit-rust/conduit-cookie,,,,,not_found
RUSTSEC-2016-0001,CVE-2016-10931,openssl,2,cookie,0.4.0,2016-11-21 15:59:01.919892 UTC,nickel-jwt-session,0.10.0,2017-07-29 22:50:38.559543 UTC,250,^0.9,https://github.com/kaj/nickel-jwt-session,,,tag_exact_no_pr,c493983ac7a7b1edc6b84afd0ac402b0d1e08d98,commit_found_no_pr
RUSTSEC-2016-0001,CVE-2016-10931,openssl,2,cookie,0.4.0,2016-11-21 15:59:01.919892 UTC,hyper_serde,0.2.0,2016-12-07 20:21:26.146640 UTC,16,^0.4,https://github.com/servo/hyper_serde,https://github.com/servo/hyper_serde/pull/2,2016-12-07T20:19:55Z,search_window,c6741541f1c289411f0a3d8b4dc0f700e0569faf,found
RUSTSEC-2016-0001,CVE-2016-10931,openssl,2,cookie,0.4.0,2016-11-21 15:59:01.919892 UTC,iron-sessionstorage,0.4.0,2016-11-24 11:01:15.532478 UTC,2,^0.4,https://github.com/iron/iron-sessionstorage,,,tag_exact_no_pr,43963ca97a014c1928a0a15473866a0d378e7bd1,commit_found_no_pr
RUSTSEC-2016-0001,CVE-2016-10931,openssl,2,cookie,0.4.0,2016-11-21 15:59:01.919892 UTC,webdriver,0.21.0,2017-02-24 16:38:15.466460 UTC,95,^0.6,https://hg.mozilla.org/mozilla-central/file/tip/testing/webdriver,,,,,skipped_no_repo
RUSTSEC-2016-0001,CVE-2016-10931,openssl,2,dockworker,0.0.9,2019-02-14 02:38:00.547262 UTC,procs,0.8.11,2019-10-07 16:36:19.283952 UTC,235,^0.0.15,,,,,,skipped_no_repo
RUSTSEC-2016-0001,CVE-2016-10931,openssl,2,lettre,0.6.2,2017-02-18 17:37:19.168814 UTC,mailstrom,0.4.0,2017-10-19 22:31:52.239937 UTC,243,^0.7,https://github.com/mikedilger/mailstrom,,,,,not_found
RUSTSEC-2016-0001,CVE-2016-10931,openssl,2,lettre,0.6.2,2017-02-18 17:37:19.168814 UTC,portier_broker,0.2.0,2018-01-05 19:28:06.999591 UTC,321,^0.7.0,https://github.com/portier/portier-broker,https://github.com/portier/portier-broker/pull/151,2018-01-05T14:20:26Z,tag_exact_pr,c56fa5950660e49253bd6c23adeaf9d04d56ff82,found
RUSTSEC-2016-0001,CVE-2016-10931,openssl,2,mysql,9.0.0,2017-01-25 18:06:34.423729 UTC,r2d2_mysql,9.0.0,2018-07-30 16:13:47.006504 UTC,550,^14,https://github.com/outersky/r2d2-mysql,https://github.com/outersky/r2d2-mysql/pull/9,2018-06-11T12:51:05Z,search_window,,found
RUSTSEC-2016-0001,CVE-2016-10931,openssl,2,postgres,0.13.0,2016-11-06 05:29:03.788631 UTC,r2d2_postgres,0.12.0,2017-02-22 03:44:32.371788 UTC,107,^0.14,https://github.com/sfackler/r2d2-postgres,,,tag_exact_no_pr,2b4207b90ab10c42a30e9cd8f89649019323061f,commit_found_no_pr
RUSTSEC-2016-0001,CVE-2016-10931,openssl,2,postgres,0.13.0,2016-11-06 05:29:03.788631 UTC,dbmigrate,0.3.0,2017-01-09 07:26:04.699247 UTC,64,^0.13,https://github.com/Keats/dbmigrate,https://github.com/Keats/dbmigrate/pull/14,2017-01-08T06:11:53Z,search_window,,found
RUSTSEC-2016-0001,CVE-2016-10931,openssl,2,postgres,0.13.0,2016-11-06 05:29:03.788631 UTC,tql,0.1.0,2018-02-10 21:38:42.172804 UTC,461,^0.15.1,https://github.com/antoyo/tql,https://github.com/antoyo/tql/pull/23,2018-01-19T07:01:54Z,search_window,e8b175df0784c1e3d92d7d7dfeea80ed6c2f9a5f,found
RUSTSEC-2016-0001,CVE-2016-10931,openssl,2,postgres,0.13.0,2016-11-06 05:29:03.788631 UTC,trek,0.3.0,2016-11-20 18:00:30.928797 UTC,14,^0.13.1,https://github.com/starim/trek,,,,,not_found
RUSTSEC-2016-0001,CVE-2016-10931,openssl,2,postgres,0.13.0,2016-11-06 05:29:03.788631 UTC,nickel-diesel,0.5.0,2017-01-19 22:47:16.371924 UTC,74,^0.13,https://github.com/strawlab/nickel-diesel,https://github.com/strawlab/nickel-diesel/pull/3,2017-01-19T22:36:21Z,search_window,b98508da51baef12b68b0e9fa9f80ec9b8fe1d15,found
