root_rustsec_id,root_cve_id,root_target_crate,hop,upstream_crate,upstream_fix_version,upstream_fix_time,downstream_crate,downstream_version,downstream_time,lag_days,dep_req
RUSTSEC-2016-0001,CVE-2016-10931,openssl,1,openssl,0.9.0,2016-11-06 03:11:39.197825 UTC,tls-api-openssl,0.1.13,2018-02-08 15:44:48.348904 UTC,459,0.9.*
RUSTSEC-2016-0001,CVE-2016-10931,openssl,1,openssl,0.9.0,2016-11-06 03:11:39.197825 UTC,trust-dns,0.9.3,2016-12-31 20:45:40.772080 UTC,55,^0.9
RUSTSEC-2016-0001,CVE-2016-10931,openssl,1,openssl,0.9.0,2016-11-06 03:11:39.197825 UTC,trust-dns-server,0.9.3,2016-12-31 20:46:18.930084 UTC,55,^0.9
RUSTSEC-2016-0001,CVE-2016-10931,openssl,1,openssl,0.9.0,2016-11-06 03:11:39.197825 UTC,websocket,0.19.0,2017-04-05 18:03:43.548149 UTC,150,^0.9.10
RUSTSEC-2016-0001,CVE-2016-10931,openssl,1,openssl,0.9.0,2016-11-06 03:11:39.197825 UTC,ws,0.7.0,2017-03-30 23:15:27.125574 UTC,144,^0.9
RUSTSEC-2016-0001,CVE-2016-10931,openssl,1,openssl,0.9.0,2016-11-06 03:11:39.197825 UTC,yup-oauth2,1.0.2,2017-01-31 18:04:58.500726 UTC,86,^0.9.6
RUSTSEC-2016-0001,CVE-2016-10931,openssl,2,acme-client,0.3.0,2017-02-22 18:39:14.695609 UTC,letsencrypt-rs,0.1.4,2017-02-22 18:40:07.485108 UTC,0,^0.3
RUSTSEC-2016-0001,CVE-2016-10931,openssl,2,cargo,0.15.0,2016-12-25 16:00:07.282341 UTC,cargo-show,0.3.0,2017-03-18 01:08:41.984939 UTC,82,^0.17.0
RUSTSEC-2016-0001,CVE-2016-10931,openssl,2,cargo,0.15.0,2016-12-25 16:00:07.282341 UTC,cargo-local-registry,0.1.3,2017-04-27 18:38:17.255807 UTC,123,^0.18
RUSTSEC-2016-0001,CVE-2016-10931,openssl,2,cargo,0.15.0,2016-12-25 16:00:07.282341 UTC,cargo-bitbake,0.3.2,2017-04-16 14:14:57.807970 UTC,111,^0.17
RUSTSEC-2016-0001,CVE-2016-10931,openssl,2,cargo,0.15.0,2016-12-25 16:00:07.282341 UTC,cargo-ebuild,0.1.4,2017-04-17 14:17:05.960973 UTC,112,^0.17
RUSTSEC-2016-0001,CVE-2016-10931,openssl,2,cargo,0.15.0,2016-12-25 16:00:07.282341 UTC,cargo-vendor,0.1.4,2017-02-04 06:23:03.823266 UTC,40,^0.16
RUSTSEC-2016-0001,CVE-2016-10931,openssl,2,cargo,0.15.0,2016-12-25 16:00:07.282341 UTC,debcargo,2.0.0-rc.3,2018-06-06 09:51:47.476952 UTC,527,^0.27
RUSTSEC-2016-0001,CVE-2016-10931,openssl,2,cargo,0.15.0,2016-12-25 16:00:07.282341 UTC,dinghy,0.2.0,2017-02-10 13:26:16.338340 UTC,46,^0.16
RUSTSEC-2016-0001,CVE-2016-10931,openssl,2,cargo,0.15.0,2016-12-25 16:00:07.282341 UTC,cargo-lichking,0.4.0,2017-01-29 14:09:48.151062 UTC,34,^0.15
RUSTSEC-2016-0001,CVE-2016-10931,openssl,2,cargo,0.15.0,2016-12-25 16:00:07.282341 UTC,cargo-tree,0.9.0,2016-12-25 21:12:42.993217 UTC,0,^0.15
RUSTSEC-2016-0001,CVE-2016-10931,openssl,2,cargo,0.15.0,2016-12-25 16:00:07.282341 UTC,cargo-sphinx,1.1.0,2017-08-31 21:40:12.601748 UTC,249,^0.20.0
RUSTSEC-2016-0001,CVE-2016-10931,openssl,2,cargo,0.15.0,2016-12-25 16:00:07.282341 UTC,cargo-clone,0.1.1,2017-02-25 21:04:41.500673 UTC,62,^0.16.0
RUSTSEC-2016-0001,CVE-2016-10931,openssl,2,cargo,0.15.0,2016-12-25 16:00:07.282341 UTC,cargo-license,0.1.3,2017-03-18 12:38:06.015185 UTC,82,^0.17
RUSTSEC-2016-0001,CVE-2016-10931,openssl,2,cargo,0.15.0,2016-12-25 16:00:07.282341 UTC,cargo-travis,0.0.2,2017-02-26 18:12:23.807173 UTC,63,^0.16.0
RUSTSEC-2016-0001,CVE-2016-10931,openssl,2,cookie,0.4.0,2016-11-21 15:59:01.919892 UTC,conduit-cookie,0.8.1,2016-12-28 17:47:15.102995 UTC,37,^0.4
RUSTSEC-2016-0001,CVE-2016-10931,openssl,2,cookie,0.4.0,2016-11-21 15:59:01.919892 UTC,nickel-jwt-session,0.10.0,2017-07-29 22:50:38.559543 UTC,250,^0.9
RUSTSEC-2016-0001,CVE-2016-10931,openssl,2,cookie,0.4.0,2016-11-21 15:59:01.919892 UTC,hyper_serde,0.2.0,2016-12-07 20:21:26.146640 UTC,16,^0.4
RUSTSEC-2016-0001,CVE-2016-10931,openssl,2,cookie,0.4.0,2016-11-21 15:59:01.919892 UTC,iron-sessionstorage,0.4.0,2016-11-24 11:01:15.532478 UTC,2,^0.4
RUSTSEC-2016-0001,CVE-2016-10931,openssl,2,cookie,0.4.0,2016-11-21 15:59:01.919892 UTC,webdriver,0.21.0,2017-02-24 16:38:15.466460 UTC,95,^0.6
RUSTSEC-2016-0001,CVE-2016-10931,openssl,2,dockworker,0.0.9,2019-02-14 02:38:00.547262 UTC,procs,0.8.11,2019-10-07 16:36:19.283952 UTC,235,^0.0.15
RUSTSEC-2016-0001,CVE-2016-10931,openssl,2,lettre,0.6.2,2017-02-18 17:37:19.168814 UTC,mailstrom,0.4.0,2017-10-19 22:31:52.239937 UTC,243,^0.7
RUSTSEC-2016-0001,CVE-2016-10931,openssl,2,lettre,0.6.2,2017-02-18 17:37:19.168814 UTC,portier_broker,0.2.0,2018-01-05 19:28:06.999591 UTC,321,^0.7.0
RUSTSEC-2016-0001,CVE-2016-10931,openssl,2,mysql,9.0.0,2017-01-25 18:06:34.423729 UTC,r2d2_mysql,9.0.0,2018-07-30 16:13:47.006504 UTC,550,^14
RUSTSEC-2016-0001,CVE-2016-10931,openssl,2,postgres,0.13.0,2016-11-06 05:29:03.788631 UTC,r2d2_postgres,0.12.0,2017-02-22 03:44:32.371788 UTC,107,^0.14
RUSTSEC-2016-0001,CVE-2016-10931,openssl,2,postgres,0.13.0,2016-11-06 05:29:03.788631 UTC,dbmigrate,0.3.0,2017-01-09 07:26:04.699247 UTC,64,^0.13
RUSTSEC-2016-0001,CVE-2016-10931,openssl,2,postgres,0.13.0,2016-11-06 05:29:03.788631 UTC,tql,0.1.0,2018-02-10 21:38:42.172804 UTC,461,^0.15.1
RUSTSEC-2016-0001,CVE-2016-10931,openssl,2,postgres,0.13.0,2016-11-06 05:29:03.788631 UTC,trek,0.3.0,2016-11-20 18:00:30.928797 UTC,14,^0.13.1
RUSTSEC-2016-0001,CVE-2016-10931,openssl,2,postgres,0.13.0,2016-11-06 05:29:03.788631 UTC,nickel-diesel,0.5.0,2017-01-19 22:47:16.371924 UTC,74,^0.13
RUSTSEC-2016-0001,CVE-2016-10931,openssl,2,postgres,0.13.0,2016-11-06 05:29:03.788631 UTC,postgres_array,0.8.0,2017-07-19 15:24:58.830016 UTC,255,^0.14
