rustsec_id,cve_id,severity,target_crate,fix_time,downstream_crates_with_history,affected_edges,locked_out_edges,break_rate_percent,affected_req_exact_pin,affected_req_has_upper_bound,affected_req_caret_0x,affected_req_other,unknown_req_unparseable
RUSTSEC-2022-0016,CVE-2022-24791,UNKNOWN,wasmtime,2022-03-31 21:20:39.685166 UTC,48,6,0,0,0,0,6,0,0
RUSTSEC-2022-0017,RUSTSEC-2022-0017,INFO,array-macro,2022-04-27 16:18:57.282082 UTC,18,8,0,0,0,0,0,8,0
RUSTSEC-2022-0018,CVE-2022-29185,MEDIUM,totp-rs,2022-04-24 14:57:35.633235 UTC,1,1,1,100,0,0,1,0,0
RUSTSEC-2022-0019,RUSTSEC-2022-0019,INFO,crossbeam-channel,2020-07-21 17:00:45.983654 UTC,363,363,173,47,16,1,334,12,0
RUSTSEC-2022-0020,RUSTSEC-2022-0020,INFO,crossbeam,2019-01-28 20:37:17.179644 UTC,136,136,133,97,2,0,126,8,0
RUSTSEC-2022-0021,RUSTSEC-2022-0021,INFO,crossbeam-queue,2020-06-11 01:13:14.752568 UTC,40,40,10,25,1,0,38,1,0
RUSTSEC-2022-0022,RUSTSEC-2022-0022,INFO,hyper,2021-08-24 23:25:44.040063 UTC,2280,2280,1299,56,6,13,2169,92,0
RUSTSEC-2022-0025,CVE-2022-1473,HIGH,openssl-src,2022-05-05 17:43:01.287714 UTC,1,1,1,100,1,0,0,0,0
RUSTSEC-2022-0026,CVE-2022-1434,MEDIUM,openssl-src,2022-05-05 17:43:01.287714 UTC,1,1,1,100,1,0,0,0,0
RUSTSEC-2022-0027,CVE-2022-1343,MEDIUM,openssl-src,2022-05-05 17:43:01.287714 UTC,1,1,1,100,1,0,0,0,0
RUSTSEC-2022-0028,RUSTSEC-2022-0028,UNKNOWN,neon,2022-05-23 19:08:34.260810 UTC,38,36,35,97,0,0,36,0,0
RUSTSEC-2022-0029,RUSTSEC-2022-0029,UNKNOWN,crossbeam,2017-08-01 21:12:48.229129 UTC,78,78,76,97,0,0,73,5,0
RUSTSEC-2022-0030,CVE-2022-31099,UNKNOWN,rulex,2022-06-19 14:02:36.980286 UTC,2,2,0,0,0,0,2,0,0
RUSTSEC-2022-0031,CVE-2022-31100,UNKNOWN,rulex,2022-06-19 14:02:36.980286 UTC,2,2,0,0,0,0,2,0,0
RUSTSEC-2022-0032,CVE-2022-2097,UNKNOWN,openssl-src,2022-07-05 14:09:08.045110 UTC,2,2,1,50,1,0,0,1,0
